,iso,meantemp,gdp,growth,gdpcap,pop,poor
1,AFG,13.1275,7394706216,0.055180401,286.8978247,25889300,TRUE
2,AGO,22.33545455,31985432044,0.066552544,1947.722065,16614945.55,TRUE
3,ALB,13.76909091,8497358965,0.060430948,2850.757126,2982542.727,FALSE
4,ARE,27.48181818,1.78E+11,-0.052965938,41091.42556,4926427,FALSE
5,ARG,17.41285714,2.03E+11,0.01507514,5356.494991,37959991.43,FALSE
6,ARM,8.492727273,4781891740,0.078636293,1586.424369,3014690.182,TRUE
7,AUS,16.57818182,6.94E+11,0.016841735,33974.93641,20466654.55,FALSE
8,AUT,8.282727273,3.06E+11,0.012362788,37285.10061,8210766.818,FALSE
9,AZE,13.44454545,16057453902,0.124690555,1900.054818,8463184.091,TRUE
10,BDI,20.75,1165186843,-0.002292146,150.2373654,7841045.727,TRUE
11,BEL,10.60272727,3.77E+11,0.009891185,35813.86429,10522444.36,FALSE
12,BEN,27.61090909,4414723235,0.007887706,543.858072,8198626.818,TRUE
13,BFA,28.36090909,5449988209,0.025175976,407.6636659,13483447.73,TRUE
14,BGD,25.70181818,61830599857,0.042973214,434.6195536,142509050.8,TRUE
15,BGR,10.48363636,28629521430,0.050914757,3709.172138,7725500.091,FALSE
16,BHS,25.73,7566747079,-0.009109887,23093.73676,328901.4545,FALSE
17,BIH,9.833636364,10989221251,0.038842231,2839.127892,3870729.455,FALSE
18,BLR,7.029090909,30976742585,0.075116175,3195.159701,9697909.091,FALSE
19,BLZ,26.08090909,1092083377,0.021455902,4031.846369,272653.8182,FALSE
20,BOL,17.34818182,9779394070,0.01839663,1050.319887,9340431.727,TRUE
21,BRA,22.50181818,9.02E+11,0.024603573,4867.675774,185579131.1,FALSE
22,BRN,27.35181818,9475696970,-0.004278866,25900.67648,367155.0909,FALSE
23,BTN,13.01181818,869970605.3,0.057563019,1355.192149,645723.5455,TRUE
24,BWA,21.12818182,10174494854,0.023998378,5446.159903,1870613.818,FALSE
25,CAF,25.34181818,1466820600,0.018831887,370.0957924,3975819.091,TRUE
26,CAN,5.950909091,1.15E+12,0.011798513,35523.13689,32321331.91,FALSE
27,CHE,7.737272727,3.91E+11,0.010497509,52361.43917,7465096.727,FALSE
28,CHL,10.13636364,1.24E+11,0.02771838,7587.951681,16323814.18,FALSE
29,CHN,14.49545455,2.43E+12,0.091322037,1864.155276,1302328636,TRUE
30,CIV,26.58454545,16685403545,-0.01053667,957.6962614,17465824,TRUE
31,CMR,24.65363636,16593286156,0.007743092,918.1457753,18193554.09,TRUE
32,COD,23.68363636,12177570568,0.007341788,226.4182673,54217829.36,TRUE
33,COG,25.22272727,6127196741,0.020572357,1725.432012,3578141.727,TRUE
34,COL,20.68,1.50E+11,0.024911647,3481.3678,43181526.55,FALSE
35,COM,25.11636364,380112605.2,-0.006022322,634.7872086,602787.2727,TRUE
36,CPV,21.31636364,1008942213,0.052707306,2138.42383,472287.6364,TRUE
37,CRI,22.65090909,20441227732,0.022599433,4754.307995,4312187.818,FALSE
38,CUB,25.34090909,43818088034,0.049884801,3893.23318,11255190.55,FALSE
39,CYP,19.21,17071306511,0.012868781,16639.03569,1028539,FALSE
40,CZE,8.195454545,1.30E+11,0.0323254,12625.51192,10282871,FALSE
41,DEU,9.312727273,2.82E+12,0.011780883,34240.02394,82272903.91,FALSE
42,DJI,28.45545455,732418422.4,0.021560827,944.1151797,777339.4545,TRUE
43,DNK,8.360909091,2.55E+11,0.004739843,46894.18351,5431997.091,FALSE
44,DOM,25.48363636,36155820290,0.03726884,3878.289868,9342326.364,FALSE
45,DZA,17.61909091,99618802688,0.021988879,2924.182828,34149460.91,FALSE
46,ECU,19.4,40953892276,0.019025524,2983.331042,13771983.91,FALSE
47,EGY,21.97545455,94176618906,0.0312487,1313.276182,71909828.82,TRUE
48,ERI,23.37636364,1055164401,-0.032556961,221.1633774,4840067.909,TRUE
49,ESP,14.86181818,1.11E+12,0.008872696,25601.08778,43611958.27,FALSE
50,EST,5.865454545,13192473484,0.043091502,9713.810464,1358460.455,FALSE
51,ETH,19.72545455,13157442096,0.05287348,173.7446035,76312574.73,TRUE
52,FIN,4.213636364,1.94E+11,0.016910442,36892.51468,5256609.727,FALSE
53,FJI,24.01727273,2931848777,0.004243765,3536.861941,829238.9091,FALSE
54,FRA,11.37272727,2.12E+12,0.00680599,33633.76632,63083505.55,FALSE
55,GAB,25.60363636,8698266159,-0.007744429,6319.465822,1384279,FALSE
56,GBR,9.8,2.26E+12,0.012550226,37354.1331,60585297,FALSE
57,GEO,11.70363636,6448228843,0.056633715,1471.566665,4382200,TRUE
58,GHA,27.11181818,11088730922,0.029668977,520.3233042,21451270.73,TRUE
59,GIN,25.67545455,2929994218,0.004366717,304.1498978,9679786.455,TRUE
60,GMB,26.44454545,636220582.6,0.007976024,445.1185684,1443448.909,TRUE
61,GNB,27.43363636,582131671.9,0.000651118,410.6045719,1424565.364,TRUE
62,GNQ,25.11909091,6115366310,0.109971869,10197.06073,604957.3636,FALSE
63,GRC,15.45,2.35E+11,0.020074578,21225.11364,11076169.27,FALSE
64,GRL,-2.866,1722621457,0.015481459,30449.06156,56575,FALSE
65,GTM,22.75727273,27845765028,0.008486324,2203.624238,12713694.09,TRUE
66,GUY,26.83818182,842577099.4,0.006388294,1104.650394,762985.0909,TRUE
67,HND,24.53090909,9685951223,0.021723715,1407.262536,6910464,TRUE
68,HRV,12.07727273,43758328165,0.028052608,9866.744811,4434942.455,FALSE
69,HTI,25.26090909,4283249993,-0.012849365,463.9997867,9249756.455,TRUE
70,HUN,10.79,1.06E+11,0.023570339,10451.42878,10097175.36,FALSE
71,IDN,25.59545455,2.93E+11,0.036566424,1304.844339,224632469.6,TRUE
72,IND,25.82818182,8.65E+11,0.054534854,770.3334992,1125712222,TRUE
73,IRL,9.086363636,1.95E+11,0.013513109,46773.18807,4189837.636,FALSE
74,IRN,15.83090909,1.93E+11,0.038032419,2758.122737,70180508.09,TRUE
75,IRQ,22.85,52556698934,0.005974642,1906.785887,27712535.4,TRUE
76,ISL,2.229090909,15740438713,0.01099404,52554.36027,300120.6364,FALSE
77,ISR,20.85909091,1.39E+11,0.018600096,20029.81198,6943509.091,FALSE
78,ITA,13.58636364,1.77E+12,0.002867834,30559.13321,57975002.82,FALSE
79,JOR,18.06545455,12906888174,0.036127736,2396.45533,5414636.364,TRUE
80,JPN,14.25636364,4.51E+12,0.008369479,35392.4807,127541382.5,FALSE
81,KAZ,6.655454545,57010710171,0.0726666,3724.391601,15322772.64,FALSE
82,KEN,20.42909091,19109173299,0.010709573,536.0614766,35904933.36,TRUE
83,KGZ,7.461818182,2542853296,0.030664936,493.1739251,5161954.545,TRUE
84,KHM,27.97909091,6331973119,0.060951649,476.3182478,13326998.91,TRUE
85,KOR,11.78090909,9.04E+11,0.041742251,18739.99694,48230468.64,FALSE
86,KWT,26.36272727,75713687149,5.66E-05,32634.31838,2369133.455,FALSE
87,LAO,23.98636364,2859719390,0.050556911,491.2344993,5838594.364,TRUE
88,LBN,14.34727273,22342572085,0.02410743,5817.297011,3875716.455,FALSE
89,LBR,26.16545455,661525056.7,0.050012388,199.106543,3354481,TRUE
90,LBY,21.07181818,43745605536,0.026437341,7824.611996,5604512.545,FALSE
91,LKA,26.59363636,25246366907,0.043790534,1285.179253,19662636.36,TRUE
92,LSO,11.79454545,1414408982,0.031792253,733.7408419,1928820.455,TRUE
93,LTU,7.104545455,24950289896,0.05347881,7533.167931,3317079,FALSE
94,LUX,9.660909091,37173861432,0.015540719,79660.87329,467718.0909,FALSE
95,LVA,6.690909091,15152968521,0.050630065,6773.285763,2239999.727,FALSE
96,MAR,17.41,60838820218,0.034709265,2020.299969,30140652.91,TRUE
97,MDA,9.876363636,2887728560,0.049537492,802.8781792,3596908.909,TRUE
98,MDG,21.00636364,5122950013,-0.002741465,281.747239,18337709.45,TRUE
99,MEX,18.85181818,8.69E+11,0.007879059,7854.73375,110820958.3,FALSE
100,MKD,9.819090909,6127816355,0.024177138,2938.484312,2085479.091,FALSE
101,MLI,28.63,5424260681,0.024930214,455.8252399,12015878.91,TRUE
102,MNG,-0.451818182,2589097721,0.046077664,1021.4914,2538552.455,TRUE
103,MOZ,24.62636364,6613400793,0.042129219,316.5044666,21050311.82,TRUE
104,MRT,28.84818182,2260998352,0.014352909,723.5466355,3150939.364,TRUE
105,MUS,24.42636364,6460308053,0.033661526,5215.307384,1239456.545,FALSE
106,MWI,22.83181818,2859167470,-0.00199794,221.1607774,13031868,TRUE
107,MYS,26.32363636,1.44E+11,0.029486247,5585.912659,25851720.09,FALSE
108,NAM,21.91909091,7271155760,0.02934924,3582.36143,2033273.455,FALSE
109,NER,28.93909091,3511795523,0.002487344,267.9044231,13287442.18,TRUE
110,NGA,27.25454545,1.10E+11,0.056023893,789.377013,140276435.4,TRUE
111,NIC,26.47363636,6317448598,0.01566152,1159.406423,5458141.727,TRUE
112,NLD,10.47,6.45E+11,0.01110694,39577.31451,16296976.64,FALSE
113,NOR,5.190909091,3.00E+11,0.007928218,64500.74071,4652632.091,FALSE
114,NPL,21.21363636,8260403545,0.025088578,328.8368327,25173280.82,TRUE
115,NZL,12.81090909,1.10E+11,0.013246403,26867.81517,4118245.455,FALSE
116,OMN,26.40636364,32754701956,0.025098456,13266.19561,2481779.545,FALSE
117,PAK,23.30727273,1.08E+11,0.02226189,685.0942604,158273733.9,TRUE
118,PAN,25.82181818,16490904452,0.037397126,4916.10351,3366067,FALSE
119,PER,15.42181818,77583806888,0.039998376,2806.651795,27680424.18,FALSE
120,PHL,26.01272727,1.04E+11,0.027449565,1220.131107,85682237.27,TRUE
121,PNG,21.89909091,5143230957,0.006987451,847.3433024,6105841.545,TRUE
122,POL,8.548181818,3.14E+11,0.039800778,8216.782993,38182925.27,FALSE
123,PRI,24.97363636,80445759763,0.006632097,21203.2391,3794373.455,FALSE
124,PRT,15.23727273,1.92E+11,0.006617007,18341.58899,10480276.27,FALSE
125,PRY,22.32545455,9025982547,0.009632056,1534.185352,5904115.455,TRUE
126,QAT,27.524,57535161779,0.013128353,64386.63194,1023630.3,FALSE
127,ROU,9.940909091,99368730836,0.04991794,4678.280993,21261833.73,FALSE
128,RUS,4.563636364,7.62E+11,0.054568292,5307.335075,143676116.4,FALSE
129,RWA,20.59363636,2686863112,0.047151197,282.7347839,9557414.182,TRUE
130,SAU,26.54363636,3.32E+11,0.021911559,13861.10609,24177427.82,FALSE
131,SDN,28.59818182,27536513585,0.032939239,876.3956456,31622771.55,TRUE
132,SEN,27.34909091,8592549470,0.012382968,764.5559638,11322441.55,TRUE
133,SLB,27.41363636,429144558,-0.012734988,919.9560549,469278,TRUE
134,SLE,26.85090909,1626026323,0.030127828,327.1597462,5028320.455,TRUE
135,SLV,23.03090909,17060657990,0.014567955,2806.603489,6079791,TRUE
136,SRB,10.34363636,24557825972,0.040466607,3308.397007,7423630.818,FALSE
137,STP,26.37,133930670.1,0.024068128,851.7819756,158105.9,TRUE
138,SUR,27.12454545,1771383964,0.031370475,3563.290698,497817,FALSE
139,SVK,8.608181818,62930992640,0.043650715,11699.65914,5378882.091,FALSE
140,SVN,8.738181818,35744885582,0.025074648,17790.52585,2009390.182,FALSE
141,SWE,6.113636364,3.66E+11,0.018153993,40348.92543,9072657.636,FALSE
142,SWZ,20.26545455,2607166631,0.010314059,2338.051144,1116543,TRUE
143,SYR,17.82625,26949353795,0.021366538,1527.779575,17696889.25,TRUE
144,TCD,28.54454545,5751367503,0.056869522,581.8117095,10004238.64,TRUE
145,TGO,26.89909091,2162366447,-0.007242857,391.6942018,5557844.182,TRUE
146,THA,27.13818182,1.74E+11,0.035955876,2677.361981,65015581.27,TRUE
147,TJK,12.39636364,2313570157,0.058310016,339.5058768,6844938.545,TRUE
148,TKM,16.16545455,8862983273,0.060922885,1864.882663,4758585,TRUE
149,TTO,25.98454545,15937106758,0.050959982,12288.06585,1297255.455,FALSE
150,TUN,19.62090909,32993220130,0.033810082,3287.693025,10044618.18,FALSE
151,TUR,12.73181818,4.69E+11,0.027062111,6937.769122,67699001.73,FALSE
152,TZA,22.64181818,14406291236,0.037979465,371.3347024,39100152.09,TRUE
153,UGA,22.81636364,9529097503,0.034561909,333.6951675,28882534.73,TRUE
154,UKR,8.933636364,82680029261,0.050598244,1750.156299,47264655.73,TRUE
155,URY,18.25727273,18174062249,0.022502002,5447.481855,3336309.364,FALSE
156,USA,13.66909091,1.28E+13,0.009032159,43292.55281,295726299.8,FALSE
157,UZB,14.66454545,15113252716,0.049669089,575.4132059,26315868.18,TRUE
158,VCT,26.77363636,546660256.5,0.023976643,5030.53857,108670.5455,FALSE
159,VEN,25.77727273,1.49E+11,0.013745399,5592.848851,26726319.27,FALSE
160,VNM,24.89636364,58376514102,0.0526203,709.9040642,82336736.36,TRUE
161,VUT,25.29909091,416032178.1,0.00732674,1995.012254,209812.7273,TRUE
162,WSM,26.48636364,396346011.6,0.025356673,2202.07143,180060.1818,TRUE
163,YEM,23.09818182,16676177368,0.013890594,833.9381307,20134303.36,TRUE
164,ZAF,17.49454545,2.48E+11,0.019819871,5226.806255,47604243.27,FALSE
165,ZMB,21.59454545,7404667278,0.025978941,645.8550359,11547046.09,TRUE
166,ZWE,20.52545455,6213828766,-0.05183852,488.2142937,12729316.45,TRUE
167,MMR,,,,,,TRUE